id,domain,priority,ko,vi,plain_ko,risk_level,type,status
VIT0001,manufacturing_machine,core,프레스,máy dập,프레스,normal,base_term,seed_needs_native_field_review
VIT0002,manufacturing_machine,core,사출기,máy ép nhựa,사출기,normal,base_term,seed_needs_native_field_review
VIT0003,manufacturing_machine,core,컨베이어,băng tải,컨베이어,normal,base_term,seed_needs_native_field_review
VIT0004,manufacturing_machine,core,롤러,con lăn,롤러,normal,base_term,seed_needs_native_field_review
VIT0005,manufacturing_machine,core,절단기,máy cắt,절단기,normal,base_term,seed_needs_native_field_review
VIT0006,manufacturing_machine,core,파쇄기,máy nghiền,파쇄기,normal,base_term,seed_needs_native_field_review
VIT0007,manufacturing_machine,core,압축기,máy ép nén,압축기,normal,base_term,seed_needs_native_field_review
VIT0008,manufacturing_machine,core,혼합기,máy trộn,혼합기,normal,base_term,seed_needs_native_field_review
VIT0009,manufacturing_machine,core,포장기,máy đóng gói,포장기,normal,base_term,seed_needs_native_field_review
VIT0010,manufacturing_machine,core,선반,máy tiện,선반,normal,base_term,seed_needs_native_field_review
VIT0011,manufacturing_machine,core,밀링기,máy phay,밀링기,normal,base_term,seed_needs_native_field_review
VIT0012,manufacturing_machine,core,드릴,máy khoan,드릴,normal,base_term,seed_needs_native_field_review
VIT0013,manufacturing_machine,core,그라인더,máy mài,그라인더,normal,base_term,seed_needs_native_field_review
VIT0014,manufacturing_machine,core,용접기,máy hàn,용접기,normal,base_term,seed_needs_native_field_review
VIT0015,manufacturing_machine,core,에어건,súng hơi,에어건,normal,base_term,seed_needs_native_field_review
VIT0016,manufacturing_machine,core,콤프레서,máy nén khí,콤프레서,normal,base_term,seed_needs_native_field_review
VIT0017,manufacturing_machine,core,지그,đồ gá,지그,normal,base_term,seed_needs_native_field_review
VIT0018,manufacturing_machine,core,금형,khuôn,금형,normal,base_term,seed_needs_native_field_review
VIT0019,manufacturing_machine,core,로봇암,cánh tay robot,로봇암,normal,base_term,seed_needs_native_field_review
VIT0020,manufacturing_machine,core,CNC,máy CNC,CNC,normal,base_term,seed_needs_native_field_review
VIT0021,manufacturing_machine,core,호이스트,pa lăng,호이스트,normal,base_term,seed_needs_native_field_review
VIT0022,manufacturing_machine,core,전동공구,dụng cụ điện,전동공구,normal,base_term,seed_needs_native_field_review
VIT0023,manufacturing_machine,core,작업대,bàn làm việc,작업대,normal,base_term,seed_needs_native_field_review
VIT0024,manufacturing_machine,core,공구함,hộp dụng cụ,공구함,normal,base_term,seed_needs_native_field_review
VIT0025,manufacturing_machine,core,톱날,lưỡi cưa,톱날,normal,base_term,seed_needs_native_field_review
VIT0026,manufacturing_machine,core,칼날,lưỡi dao,칼날,normal,base_term,seed_needs_native_field_review
VIT0027,manufacturing_machine,core,드릴 비트,mũi khoan,드릴 비트,normal,base_term,seed_needs_native_field_review
VIT0028,manufacturing_machine,core,기리,mũi khoan,기리,normal,base_term,seed_needs_native_field_review
VIT0029,manufacturing_machine,core,방호덮개,nắp che bảo vệ,방호덮개,normal,base_term,seed_needs_native_field_review
VIT0030,manufacturing_machine,core,인터록,khóa liên động an toàn,인터록,normal,base_term,seed_needs_native_field_review
VIT0031,manufacturing_machine,core,센서,cảm biến,센서,normal,base_term,seed_needs_native_field_review
VIT0032,manufacturing_machine,core,비상정지버튼,nút dừng khẩn cấp,비상정지버튼,normal,base_term,seed_needs_native_field_review
VIT0033,manufacturing_machine,core,회전체,bộ phận quay,회전체,normal,base_term,seed_needs_native_field_review
VIT0034,manufacturing_machine,core,동력전달부,bộ phận truyền động,동력전달부,normal,base_term,seed_needs_native_field_review
VIT0035,manufacturing_machine,core,끼임점,điểm kẹp,끼임점,normal,base_term,seed_needs_native_field_review
VIT0036,manufacturing_machine,core,공압,khí nén,공압,normal,base_term,seed_needs_native_field_review
VIT0037,manufacturing_machine,core,유압,thủy lực,유압,normal,base_term,seed_needs_native_field_review
VIT0038,manufacturing_machine,core,윤활유,dầu bôi trơn,윤활유,normal,base_term,seed_needs_native_field_review
VIT0039,manufacturing_machine,core,냉각수,nước làm mát,냉각수,normal,base_term,seed_needs_native_field_review
VIT0040,manufacturing_machine,core,필터,bộ lọc,필터,normal,base_term,seed_needs_native_field_review
VIT0041,manufacturing_machine,core,노즐,vòi phun,노즐,normal,base_term,seed_needs_native_field_review
VIT0042,manufacturing_machine,core,베어링,vòng bi,베어링,normal,base_term,seed_needs_native_field_review
VIT0043,manufacturing_machine,core,벨트,dây đai,벨트,normal,base_term,seed_needs_native_field_review
VIT0044,manufacturing_machine,core,체인,xích,체인,normal,base_term,seed_needs_native_field_review
VIT0045,manufacturing_machine,core,기어,bánh răng,기어,normal,base_term,seed_needs_native_field_review
VIT0046,manufacturing_machine,core,모터,động cơ,모터,normal,base_term,seed_needs_native_field_review
VIT0047,manufacturing_machine,core,제어반,tủ điều khiển,제어반,normal,base_term,seed_needs_native_field_review
VIT0048,manufacturing_machine,core,분전반,tủ điện phân phối,분전반,normal,base_term,seed_needs_native_field_review
VIT0049,manufacturing_quality,core,불량,hàng lỗi,불량,normal,base_term,seed_needs_native_field_review
VIT0050,manufacturing_quality,core,양품,hàng đạt chuẩn,양품,normal,base_term,seed_needs_native_field_review
VIT0051,manufacturing_quality,core,찍힘,vết lõm,찍힘,normal,base_term,seed_needs_native_field_review
VIT0052,manufacturing_quality,core,긁힘,vết xước,긁힘,normal,base_term,seed_needs_native_field_review
VIT0053,manufacturing_quality,core,기스,vết xước,기스,normal,base_term,seed_needs_native_field_review
VIT0054,manufacturing_quality,core,깨짐,bị vỡ,깨짐,normal,base_term,seed_needs_native_field_review
VIT0055,manufacturing_quality,core,누락,thiếu,누락,normal,base_term,seed_needs_native_field_review
VIT0056,manufacturing_quality,core,오염,bị bẩn,오염,normal,base_term,seed_needs_native_field_review
VIT0057,manufacturing_quality,core,변색,đổi màu,변색,normal,base_term,seed_needs_native_field_review
VIT0058,manufacturing_quality,core,수량부족,thiếu số lượng,수량부족,normal,base_term,seed_needs_native_field_review
VIT0059,manufacturing_quality,core,재작업,làm lại,재작업,normal,base_term,seed_needs_native_field_review
VIT0060,manufacturing_quality,core,폐기,loại bỏ,폐기,normal,base_term,seed_needs_native_field_review
VIT0061,manufacturing_quality,core,샘플,mẫu,샘플,normal,base_term,seed_needs_native_field_review
VIT0062,manufacturing_quality,core,검사,kiểm tra,검사,normal,base_term,seed_needs_native_field_review
VIT0063,manufacturing_quality,core,전수검사,kiểm tra toàn bộ,전수검사,normal,base_term,seed_needs_native_field_review
VIT0064,manufacturing_quality,core,샘플검사,kiểm tra mẫu,샘플검사,normal,base_term,seed_needs_native_field_review
VIT0065,manufacturing_quality,core,로트번호,số lô,로트번호,normal,base_term,seed_needs_native_field_review
VIT0066,manufacturing_quality,core,바코드,mã vạch,바코드,normal,base_term,seed_needs_native_field_review
VIT0067,manufacturing_quality,core,라벨,nhãn,라벨,normal,base_term,seed_needs_native_field_review
VIT0068,manufacturing_quality,core,포장방향,hướng đóng gói,포장방향,normal,base_term,seed_needs_native_field_review
VIT0069,manufacturing_quality,core,뒤집힘,bị lật ngược,뒤집힘,normal,base_term,seed_needs_native_field_review
VIT0070,manufacturing_quality,core,삐뚤어짐,bị lệch,삐뚤어짐,normal,base_term,seed_needs_native_field_review
VIT0071,manufacturing_quality,core,치수불량,sai kích thước,치수불량,normal,base_term,seed_needs_native_field_review
VIT0072,manufacturing_quality,core,색상불량,sai màu,색상불량,normal,base_term,seed_needs_native_field_review
VIT0073,manufacturing_quality,core,이물질,dị vật,이물질,normal,base_term,seed_needs_native_field_review
VIT0074,manufacturing_quality,core,흠집,vết hỏng,흠집,normal,base_term,seed_needs_native_field_review
VIT0075,manufacturing_quality,core,찢어짐,bị rách,찢어짐,normal,base_term,seed_needs_native_field_review
VIT0076,manufacturing_quality,core,눌림,bị ép lõm,눌림,normal,base_term,seed_needs_native_field_review
VIT0077,manufacturing_quality,core,부품누락,thiếu linh kiện,부품누락,normal,base_term,seed_needs_native_field_review
VIT0078,manufacturing_quality,core,조립불량,lỗi lắp ráp,조립불량,normal,base_term,seed_needs_native_field_review
VIT0079,manufacturing_quality,core,용접불량,lỗi hàn,용접불량,normal,base_term,seed_needs_native_field_review
VIT0080,manufacturing_quality,core,포장불량,lỗi đóng gói,포장불량,normal,base_term,seed_needs_native_field_review
VIT0081,manufacturing_quality,core,혼입,lẫn hàng,혼입,normal,base_term,seed_needs_native_field_review
VIT0082,manufacturing_quality,core,분리보관,bảo quản riêng,분리보관,normal,base_term,seed_needs_native_field_review
VIT0083,manufacturing_quality,core,검사대기,chờ kiểm tra,검사대기,normal,base_term,seed_needs_native_field_review
VIT0084,manufacturing_quality,core,출하보류,tạm giữ xuất hàng,출하보류,normal,base_term,seed_needs_native_field_review
VIT0085,safety_emergency,core,멈춰,dừng lại,멈춰,high,base_term,seed_needs_native_field_review
VIT0086,safety_emergency,core,위험,nguy hiểm,위험,high,base_term,seed_needs_native_field_review
VIT0087,safety_emergency,core,대피,sơ tán,대피,high,base_term,seed_needs_native_field_review
VIT0088,safety_emergency,core,비상정지,dừng khẩn cấp,비상정지,high,base_term,seed_needs_native_field_review
VIT0089,safety_emergency,core,119 신고,gọi 119,119 신고,high,base_term,seed_needs_native_field_review
VIT0090,safety_emergency,core,응급처치,sơ cứu,응급처치,high,base_term,seed_needs_native_field_review
VIT0091,safety_emergency,core,출혈,chảy máu,출혈,high,base_term,seed_needs_native_field_review
VIT0092,safety_emergency,core,골절,gãy xương,골절,high,base_term,seed_needs_native_field_review
VIT0093,safety_emergency,core,화상,bỏng,화상,high,base_term,seed_needs_native_field_review
VIT0094,safety_emergency,core,질식,ngạt thở,질식,high,base_term,seed_needs_native_field_review
VIT0095,safety_emergency,core,감전,điện giật,감전,high,base_term,seed_needs_native_field_review
VIT0096,safety_emergency,core,화재,cháy,화재,high,base_term,seed_needs_native_field_review
VIT0097,safety_emergency,core,폭발,nổ,폭발,high,base_term,seed_needs_native_field_review
VIT0098,safety_emergency,core,추락,rơi từ trên cao,추락,high,base_term,seed_needs_native_field_review
VIT0099,safety_emergency,core,낙하물,vật rơi,낙하물,high,base_term,seed_needs_native_field_review
VIT0100,safety_emergency,core,끼임,bị kẹp,끼임,high,base_term,seed_needs_native_field_review
VIT0101,safety_emergency,core,베임,bị cắt,베임,high,base_term,seed_needs_native_field_review
VIT0102,safety_emergency,core,절단,bị cắt đứt,절단,high,base_term,seed_needs_native_field_review
VIT0103,safety_emergency,core,찔림,bị đâm,찔림,high,base_term,seed_needs_native_field_review
VIT0104,safety_emergency,core,미끄럼,trượt ngã,미끄럼,high,base_term,seed_needs_native_field_review
VIT0105,safety_emergency,core,넘어짐,té ngã,넘어짐,high,base_term,seed_needs_native_field_review
VIT0106,safety_emergency,core,부딪힘,va chạm,부딪힘,high,base_term,seed_needs_native_field_review
VIT0107,safety_emergency,core,맞음,bị vật đập trúng,맞음,high,base_term,seed_needs_native_field_review
VIT0108,safety_emergency,core,깔림,bị đè,깔림,high,base_term,seed_needs_native_field_review
VIT0109,safety_emergency,core,붕괴,sập đổ,붕괴,high,base_term,seed_needs_native_field_review
VIT0110,safety_emergency,core,토사붕괴,sạt lở đất,토사붕괴,high,base_term,seed_needs_native_field_review
VIT0111,safety_emergency,core,밀폐공간,không gian kín,밀폐공간,high,base_term,seed_needs_native_field_review
VIT0112,safety_emergency,core,유해가스,khí độc hại,유해가스,high,base_term,seed_needs_native_field_review
VIT0113,safety_emergency,core,안전모,mũ bảo hộ,안전모,high,base_term,seed_needs_native_field_review
VIT0114,safety_emergency,core,안전화,giày bảo hộ,안전화,high,base_term,seed_needs_native_field_review
VIT0115,safety_emergency,core,안전대,dây an toàn,안전대,high,base_term,seed_needs_native_field_review
VIT0116,safety_emergency,core,안전고리,móc an toàn,안전고리,high,base_term,seed_needs_native_field_review
VIT0117,safety_emergency,core,장갑,găng tay,장갑,high,base_term,seed_needs_native_field_review
VIT0118,safety_emergency,core,보안경,kính bảo hộ,보안경,high,base_term,seed_needs_native_field_review
VIT0119,safety_emergency,core,보안면,mặt nạ bảo vệ mặt,보안면,high,base_term,seed_needs_native_field_review
VIT0120,safety_emergency,core,마스크,khẩu trang,마스크,high,base_term,seed_needs_native_field_review
VIT0121,safety_emergency,core,귀마개,nút tai chống ồn,귀마개,high,base_term,seed_needs_native_field_review
VIT0122,safety_emergency,core,형광조끼,áo phản quang,형광조끼,high,base_term,seed_needs_native_field_review
VIT0123,safety_emergency,core,전원 차단,ngắt nguồn điện,전원 차단,high,base_term,seed_needs_native_field_review
VIT0124,safety_emergency,core,누전,rò điện,누전,high,base_term,seed_needs_native_field_review
VIT0125,safety_emergency,core,접지,nối đất,접지,high,base_term,seed_needs_native_field_review
VIT0126,safety_emergency,core,차단기,cầu dao,차단기,high,base_term,seed_needs_native_field_review
VIT0127,safety_emergency,core,잠금표지,khóa và gắn thẻ,잠금표지,high,base_term,seed_needs_native_field_review
VIT0128,safety_emergency,core,환기,thông gió,환기,high,base_term,seed_needs_native_field_review
VIT0129,safety_emergency,core,가연물,vật dễ cháy,가연물,high,base_term,seed_needs_native_field_review
VIT0130,safety_emergency,core,인화성물질,chất dễ bắt lửa,인화성물질,high,base_term,seed_needs_native_field_review
VIT0131,safety_emergency,core,유해물질,chất độc hại,유해물질,high,base_term,seed_needs_native_field_review
VIT0132,safety_emergency,core,MSDS,bảng dữ liệu an toàn hóa chất,MSDS,high,base_term,seed_needs_native_field_review
VIT0133,construction_safety_slang,core,아시바,giàn giáo,아시바,high,base_term,seed_needs_native_field_review
VIT0134,construction_safety_slang,core,비계,giàn giáo,비계,high,base_term,seed_needs_native_field_review
VIT0135,construction_safety_slang,core,발판,sàn thao tác,발판,high,base_term,seed_needs_native_field_review
VIT0136,construction_safety_slang,core,난간,lan can,난간,high,base_term,seed_needs_native_field_review
VIT0137,construction_safety_slang,core,데스라,lan can hoặc thanh chắn an toàn,데스라,high,base_term,seed_needs_native_field_review
VIT0138,construction_safety_slang,core,개구부,lỗ mở,개구부,high,base_term,seed_needs_native_field_review
VIT0139,construction_safety_slang,core,거푸집,ván khuôn,거푸집,high,base_term,seed_needs_native_field_review
VIT0140,construction_safety_slang,core,동바리,cây chống,동바리,high,base_term,seed_needs_native_field_review
VIT0141,construction_safety_slang,core,기리바리,thanh chống tạm,기리바리,high,base_term,seed_needs_native_field_review
VIT0142,construction_safety_slang,core,철근,thép cốt bê tông,철근,high,base_term,seed_needs_native_field_review
VIT0143,construction_safety_slang,core,보호캡,nắp bảo vệ đầu thép,보호캡,high,base_term,seed_needs_native_field_review
VIT0144,construction_safety_slang,core,양중,nâng hạ vật nặng,양중,high,base_term,seed_needs_native_field_review
VIT0145,construction_safety_slang,core,크레인,cần cẩu,크레인,high,base_term,seed_needs_native_field_review
VIT0146,construction_safety_slang,core,슬링벨트,dây cẩu vải,슬링벨트,high,base_term,seed_needs_native_field_review
VIT0147,construction_safety_slang,core,샤클,ma ní,샤클,high,base_term,seed_needs_native_field_review
VIT0148,construction_safety_slang,core,훅,móc cẩu,훅,high,base_term,seed_needs_native_field_review
VIT0149,construction_safety_slang,core,신호수,người ra tín hiệu,신호수,high,base_term,seed_needs_native_field_review
VIT0150,construction_safety_slang,core,작업반경,phạm vi làm việc,작업반경,high,base_term,seed_needs_native_field_review
VIT0151,construction_safety_slang,core,굴착,đào đất,굴착,high,base_term,seed_needs_native_field_review
VIT0152,construction_safety_slang,core,굴착면,mặt đào,굴착면,high,base_term,seed_needs_native_field_review
VIT0153,construction_safety_slang,core,흙막이,tường chắn đất,흙막이,high,base_term,seed_needs_native_field_review
VIT0154,construction_safety_slang,core,나라시,san phẳng,나라시,high,base_term,seed_needs_native_field_review
VIT0155,construction_safety_slang,core,스미마끼,đánh dấu đường mực,스미마끼,high,base_term,seed_needs_native_field_review
VIT0156,construction_safety_slang,core,먹매김,đánh dấu đường mực,먹매김,high,base_term,seed_needs_native_field_review
VIT0157,construction_safety_slang,core,바라시,tháo dỡ,바라시,high,base_term,seed_needs_native_field_review
VIT0158,construction_safety_slang,core,하스리,đục phá bê tông,하스리,high,base_term,seed_needs_native_field_review
VIT0159,construction_safety_slang,core,공구리,bê tông,공구리,high,base_term,seed_needs_native_field_review
VIT0160,construction_safety_slang,core,메지,mạch nối,메지,high,base_term,seed_needs_native_field_review
VIT0161,construction_safety_slang,core,고바이,độ dốc,고바이,high,base_term,seed_needs_native_field_review
VIT0162,construction_safety_slang,core,다데,chiều dọc,다데,high,base_term,seed_needs_native_field_review
VIT0163,construction_safety_slang,core,요코,chiều ngang,요코,high,base_term,seed_needs_native_field_review
VIT0164,construction_safety_slang,core,하리,dầm,하리,high,base_term,seed_needs_native_field_review
VIT0165,construction_safety_slang,core,기소,móng,기소,high,base_term,seed_needs_native_field_review
VIT0166,construction_safety_slang,core,빠데,bột trét,빠데,high,base_term,seed_needs_native_field_review
VIT0167,construction_safety_slang,core,빠데질,trét bột,빠데질,high,base_term,seed_needs_native_field_review
VIT0168,construction_safety_slang,core,오함마,búa tạ,오함마,high,base_term,seed_needs_native_field_review
VIT0169,logistics_forklift,core,지게차,xe nâng,지게차,normal,base_term,seed_needs_native_field_review
VIT0170,logistics_forklift,core,포크,càng nâng,포크,normal,base_term,seed_needs_native_field_review
VIT0171,logistics_forklift,core,팔레트,pallet,팔레트,normal,base_term,seed_needs_native_field_review
VIT0172,logistics_forklift,core,빠렛트,pallet,빠렛트,normal,base_term,seed_needs_native_field_review
VIT0173,logistics_forklift,core,랙,kệ hàng,랙,normal,base_term,seed_needs_native_field_review
VIT0174,logistics_forklift,core,적재,xếp hàng,적재,normal,base_term,seed_needs_native_field_review
VIT0175,logistics_forklift,core,상차,bốc hàng lên xe,상차,normal,base_term,seed_needs_native_field_review
VIT0176,logistics_forklift,core,하차,dỡ hàng xuống xe,하차,normal,base_term,seed_needs_native_field_review
VIT0177,logistics_forklift,core,입고,nhập kho,입고,normal,base_term,seed_needs_native_field_review
VIT0178,logistics_forklift,core,출고,xuất kho,출고,normal,base_term,seed_needs_native_field_review
VIT0179,logistics_forklift,core,상하차,bốc dỡ hàng,상하차,normal,base_term,seed_needs_native_field_review
VIT0180,logistics_forklift,core,하역,bốc dỡ,하역,normal,base_term,seed_needs_native_field_review
VIT0181,logistics_forklift,core,랩핑,quấn màng,랩핑,normal,base_term,seed_needs_native_field_review
VIT0182,logistics_forklift,core,박스,thùng,박스,normal,base_term,seed_needs_native_field_review
VIT0183,logistics_forklift,core,중량물,vật nặng,중량물,normal,base_term,seed_needs_native_field_review
VIT0184,logistics_forklift,core,손수레,xe đẩy tay,손수레,normal,base_term,seed_needs_native_field_review
VIT0185,logistics_forklift,core,구루마,xe đẩy tay,구루마,normal,base_term,seed_needs_native_field_review
VIT0186,logistics_forklift,core,대차,xe đẩy hàng,대차,normal,base_term,seed_needs_native_field_review
VIT0187,logistics_forklift,core,동선,lối di chuyển,동선,normal,base_term,seed_needs_native_field_review
VIT0188,logistics_forklift,core,사각지대,điểm mù,사각지대,normal,base_term,seed_needs_native_field_review
VIT0189,logistics_forklift,core,후진경고음,âm cảnh báo lùi,후진경고음,normal,base_term,seed_needs_native_field_review
VIT0190,logistics_forklift,core,적재중량,tải trọng xếp hàng,적재중량,normal,base_term,seed_needs_native_field_review
VIT0191,logistics_forklift,core,과적,chở quá tải,과적,normal,base_term,seed_needs_native_field_review
VIT0192,logistics_forklift,core,고정끈,dây chằng,고정끈,normal,base_term,seed_needs_native_field_review
VIT0193,logistics_forklift,core,화물,hàng hóa,화물,normal,base_term,seed_needs_native_field_review
VIT0194,logistics_forklift,core,출입구,cổng ra vào,출입구,normal,base_term,seed_needs_native_field_review
VIT0195,logistics_forklift,core,안전선,vạch an toàn,안전선,normal,base_term,seed_needs_native_field_review
VIT0196,logistics_forklift,core,작업구역,khu vực làm việc,작업구역,normal,base_term,seed_needs_native_field_review
VIT0197,slang_variant,core,오야지,tổ trưởng/giám sát hiện trường,오야지,normal,base_term,seed_needs_native_field_review
VIT0198,slang_variant,core,데모도,thợ phụ,데모도,normal,base_term,seed_needs_native_field_review
VIT0199,slang_variant,core,곰방,vận chuyển thủ công,곰방,normal,base_term,seed_needs_native_field_review
